LE_x,LE_y,LE_z,TE_x,TE_y,TE_z,d_tube,camber
-1.04515,5.901008,2.384761,1.4237,5.851627,2.314091,0.07000006514453012,0.033969
-1.415966,5.326193,2.786413,1.552476,5.272114,2.704118,0.06516603335114891,0.0499625
-1.854089,4.729417,3.154647,1.666613,4.689428,3.085898,0.06274988247387332,0.0644905
-2.058241,4.114273,3.491296,1.764703,4.079645,3.41909,0.0609022589124995,0.0685683
-2.220631,3.466651,3.760215,1.847919,3.448012,3.706549,0.059239902318004745,0.0722338
-2.333633,2.791767,3.950649,1.915278,2.775106,3.878379,0.05742173333528964,0.0752013
-2.40711,2.101624,4.074901,1.968023,2.093087,4.014408,0.05586005613185547,0.08
-2.449621,1.40405,4.146496,2.005511,1.398695,4.084518,0.054987174088527414,0.08
-2.479072,0.704532,4.195605,2.028017,0.70138,4.132749,0.05456005585616932,0.08
-2.487428,0.234915,4.209777,2.034727,0.233964,4.146639,0.05439000268013851,0.08
-2.487428,-0.234915,4.209777,2.034727,-0.233964,4.146639,0.05439000268013851,0.08
-2.479072,-0.704532,4.195605,2.028017,-0.70138,4.132749,0.05456005585616932,0.08
-2.449621,-1.40405,4.146496,2.005511,-1.398695,4.084518,0.054987174088527414,0.08
-2.40711,-2.101624,4.074901,1.968023,-2.093087,4.014408,0.05586005613185547,0.08
-2.333633,-2.791767,3.950649,1.915278,-2.775106,3.878379,0.05742173333528964,0.0752013
-2.220631,-3.466651,3.760215,1.847919,-3.448012,3.706549,0.059239902318004745,0.0722338
-2.058241,-4.114273,3.491296,1.764703,-4.079645,3.41909,0.0609022589124995,0.0685683
-1.854089,-4.729417,3.154647,1.666613,-4.689428,3.085898,0.06274988247387332,0.0644905
-1.415966,-5.326193,2.786413,1.552476,-5.272114,2.704118,0.06516603335114891,0.0499625
-1.04515,-5.901008,2.384761,1.4237,-5.851627,2.314091,0.07000006514453012,0.033969
